id,source_id,name,company,stage_id,technology,facility_type,city,state,country_code,latitude,longitude,status,measure_type,measure_value,measure_unit,measure_period,source_url,limitation
sirius-pv-elin-energy-brookshire-texas,doe_pv_mfg_map_20260615,Sirius PV (Elin Energy),Sirius PV (Elin Energy),modules,c-si,Modules: c-Si,Brookshire,Texas,USA,29.757898,-95.92714,active,nameplate-capacity,2,GWdc/year,2026-06-15,https://www.energy.gov/cmei/systems/articles/us-domestic-solar-photovoltaic-manufacturing-map-data,"DOE-reported annual nameplate capacity; not observed production, utilization, or domestic market supply."
sol-ark-plano-texas,doe_pv_mfg_map_20260615,Sol-Ark,Sol-Ark,inverters,shared,Inverters: hybrid inverters,Plano,Texas,USA,33.013485,-96.677345,active,nameplate-capacity,,,2026-06-15,https://www.energy.gov/cmei/systems/articles/us-domestic-solar-photovoltaic-manufacturing-map-data,DOE reports 0 MWac/yr; this product is not sized against other facilities in the stage.
solaredge-spanish-springs-nevada,doe_pv_mfg_map_20260615,SolarEdge,SolarEdge,inverters,shared,Inverters: multiple inverter types,Spanish Springs,Nevada,USA,39.68369,-119.708579,active,nameplate-capacity,,,2026-06-15,https://www.energy.gov/cmei/systems/articles/us-domestic-solar-photovoltaic-manufacturing-map-data,DOE reports 0 MWac/yr; this product is not sized against other facilities in the stage.
solarlink-north-las-vegas-nevada,doe_pv_mfg_map_20260615,Solarlink,Solarlink,modules,c-si,Modules: c-Si,North Las Vegas,Nevada,USA,36.216598,-115.131752,active,nameplate-capacity,2,GWdc/year,2026-06-15,https://www.energy.gov/cmei/systems/articles/us-domestic-solar-photovoltaic-manufacturing-map-data,"DOE-reported annual nameplate capacity; not observed production, utilization, or domestic market supply."
solx-energy-aguadilla-puerto-rico,doe_pv_mfg_map_20260615,Solx Energy,Solx Energy,modules,c-si,Modules: c-Si,Aguadilla,Puerto Rico,USA,18.486284,-67.110107,active,nameplate-capacity,0.8,GWdc/year,2026-06-15,https://www.energy.gov/cmei/systems/articles/us-domestic-solar-photovoltaic-manufacturing-map-data,"DOE-reported annual nameplate capacity; not observed production, utilization, or domestic market supply."
staubli-windsor-california,doe_pv_mfg_map_20260615,Stäubli,Stäubli,modules,shared,Components: connectors,Windsor,California,USA,38.548736,-122.813474,active,nameplate-capacity,,,2026-06-15,https://www.energy.gov/cmei/systems/articles/us-domestic-solar-photovoltaic-manufacturing-map-data,DOE reports 0 MWdc/yr; this product is not sized against other facilities in the stage.
staubli-windsor-california-2,doe_pv_mfg_map_20260615,Staubli,Staubli,modules,shared,Components: connectors,Windsor,California,USA,38.548669,-122.81321,active,nameplate-capacity,,,2026-06-15,https://www.energy.gov/cmei/systems/articles/us-domestic-solar-photovoltaic-manufacturing-map-data,DOE reports 0 MWdc/yr; this product is not sized against other facilities in the stage.
steel-dynamics-butler-indiana,doe_pv_mfg_map_20260615,Steel Dynamics,Steel Dynamics,structures,shared,S-BOS: tracker components,Butler,Indiana,USA,41.371988,-84.921911,active,nameplate-capacity,,,2026-06-15,https://www.energy.gov/cmei/systems/articles/us-domestic-solar-photovoltaic-manufacturing-map-data,DOE reports 0 MWdc/yr; this product is not sized against other facilities in the stage.
stewart-glass-logan-ohio,doe_pv_mfg_map_20260615,Stewart Glass,Stewart Glass,modules,shared,Components: solar glass,Logan,Ohio,USA,39.5542437,-82.3933752,active,nameplate-capacity,,,2026-06-15,https://www.energy.gov/cmei/systems/articles/us-domestic-solar-photovoltaic-manufacturing-map-data,DOE reports 1500 MWdc/yr; this product is not sized against other facilities in the stage.
suniva-norcross-georgia,doe_pv_mfg_map_20260615,Suniva,Suniva,cells,c-si,Cells: PERC,Norcross,Georgia,USA,33.955676,-84.221815,active,nameplate-capacity,1,GWdc/year,2026-06-15,https://www.energy.gov/cmei/systems/articles/us-domestic-solar-photovoltaic-manufacturing-map-data,"DOE-reported annual nameplate capacity; not observed production, utilization, or domestic market supply."
